source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating,nela_gt_label
journaldemontreal.com,canada,right,mixed,mostly free,newspaper,high traffic,high credibility,mixed
mediacircus.com,usa,right,mixed,mostly free,website,minimal traffic,low credibility,mixed
mrc.org,usa,right,mixed,mostly free,organization/foundation,minimal traffic,medium credibility,mixed
mediarightnews.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
mercatornet.com,australia,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
milliyet.com.tr,turkey,right,mixed,limited freedom,newspaper,high traffic,medium credibility,mixed
mises.org,usa,right,mixed,mostly free,organization/foundation,medium traffic,medium credibility,mixed
ncregister.com,usa,right,mixed,mostly free,newspaper,high traffic,medium credibility,mixed
nationalcenter.org,usa,right,mixed,mostly free,organization/foundation,minimal traffic,medium credibility,mixed
nfrw.org,usa,right,mixed,mostly free,organization/foundation,medium traffic,medium credibility,mixed
newbostonpost.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
newsbusters.org,usa,right,mixed,mostly free,organization/foundation,medium traffic,medium credibility,mixed
newspageindex.com,usa,right,mixed,mostly free,organization/foundation,medium traffic,medium credibility,mixed
nysun.com,usa,right,high,mostly free,website,medium traffic,high credibility,reliable
ngo-monitor.org,israel,right,mixed,moderate freedom,organization/foundation,minimal traffic,medium credibility,mixed
notthebee.com,usa,right,high,mostly free,website,high traffic,high credibility,reliable
offgridsurvival.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
oneangrygamer.net,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
opslens.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
outkick.com,usa,right-center,mixed,mostly free,website,high traffic,medium credibility,mixed
pantsonfirenews.com,usa,far right,mixed,mostly free,website,minimal traffic,low credibility,mixed
quadrant.org.au,australia,right,mixed,mostly free,magazine,minimal traffic,low credibility,mixed
rd.com,usa,right,mixed,mostly free,magazine,high traffic,medium credibility,mixed
americasvoice.news,usa,right,mixed,mostly free,tv station/website,high traffic,medium credibility,mixed
redstate.com,usa,right,mixed,mostly free,website,high traffic,medium credibility,mixed
rightandfree.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
ronpaullibertyreport.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
sabah.com.tr,turkey,right,mixed,limited freedom,newspaper,high traffic,medium credibility,mixed
newspress.com,usa,right,mixed,mostly free,newspaper,medium traffic,medium credibility,mixed
shorenewsnetwork.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
skynews.com.au,australia,right,mixed,mostly free,tv station,high traffic,medium credibility,mixed
sonorannews.com,usa,right,mixed,mostly free,newspaper,minimal traffic,medium credibility,mixed
sonsof1776.com,usa,far right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
tampafp.com,usa,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
tatumreport.com,usa,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
tenthamendmentcenter.com,usa,right,mixed,mostly free,organization/foundation,minimal traffic,medium credibility,mixed
adelaidenow.com.au,australia,right,mixed,mostly free,newspaper,high traffic,medium credibility,mixed
americafirstpolicy.com,usa,right,mixed,mostly free,organization/foundation,minimal traffic,medium credibility,mixed
dailytelegraph.com.au,australia,right,mixed,mostly free,newspaper,high traffic,medium credibility,mixed
dailywire.com,usa,right,mixed,mostly free,website,high traffic,medium credibility,mixed
thefirsttv.com,usa,right,mixed,mostly free,website/tv,medium traffic,medium credibility,mixed
theflstandard.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
thegreggjarrett.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
thehonestpatriot.net,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
theleoterrell.com,usa,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
econlib.org,usa,right,mixed,mostly free,organization/foundation,minimal traffic,medium credibility,mixed
thenationalherald.com,usa,right,mixed,mostly free,newspaper,minimal traffic,medium credibility,mixed
thenewamerican.com,usa,right,mixed,mostly free,magazine,medium traffic,medium credibility,mixed
patriotpost.us,usa,right,mixed,mostly free,website,medium traffic,high credibility,mixed
thepostmillennial.com,canada,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
thestar.com,malaysia,right,mixed,limited freedom,newspaper,high traffic,medium credibility,mixed
thesun.co.uk,united kingdom,right,mixed,mostly free,newspaper,high traffic,medium credibility,mixed
thetexan.news,usa,right,mixed,mostly free,website,medium traffic,high credibility,mixed
thetruthaboutguns.com,usa,right,mixed,mostly free,website,medium traffic,high credibility,mixed
the-sun.com,usa,right,mixed,mostly free,website,high traffic,medium credibility,mixed
timcast.com,usa,right,mixed,mostly free,website,medium traffic,high credibility,mixed
torontosun.com,canada,right,mixed,mostly free,newspaper,high traffic,high credibility,mixed
mydailyfreedom.com,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
tnc.news,canada,right,mixed,mostly free,organization/foundation,medium traffic,medium credibility,mixed
trtworld.com,turkey,right,mixed,limited freedom,tv station,medium traffic,medium credibility,mixed
twitchy.com,usa,right,mixed,mostly free,website,high traffic,medium credibility,mixed
unwatch.org,switzerland,right,mixed,mostly free,organization/foundation,medium traffic,high credibility,mixed
valuetainment.com,usa,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
washingtonexaminer.com,usa,right,mixed,mostly free,newspaper,medium traffic,medium credibility,mixed
freebeacon.com,usa,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
watchdogreport.org,usa,right,mixed,mostly free,website,minimal traffic,medium credibility,mixed
weaselzippers.us,usa,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
westernstandard.news,canada,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
wikiislam.net,usa,right,mixed,mostly free,website,medium traffic,medium credibility,mixed
wng.org,usa,right,mixed,mostly free,magazine,medium traffic,medium credibility,mixed
yellowhammernews.com,usa,right,high,mostly free,website,minimal traffic,high credibility,reliable
yaf.org,usa,right,mixed,mostly free,organization/foundation,high traffic,medium credibility,mixed
freeworldnews.tv,usa,right conspiracy- pseudoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
21stcenturywire.com,usa,right,mixed,mostly free,website,medium traffic,low credibility,mixed
79days.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,high traffic,low credibility,unreliable
911truth.org,usa,right,low,mostly free,website,minimal traffic,low credibility,unreliable
abovetopsecret.com,usa,right,low,mostly free,website,medium traffic,low credibility,unreliable
acallforanuprising.com,usa,right-conspiracy,low,mostly free,website,medium traffic,low credibility,unreliable
latitudes.org,usa,conspiracy-pseudoscience,mixed,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
additudemag.com,usa,pseudoscience,mixed,mostly free,magazine,medium traffic,low credibility,unreliable
ageofautism.com,usa,right pseudoscience,low,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
allianceforadvancedhealth.com,usa,conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
anh-usa.org,usa,conspiracy-pseudoscience,mixed,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
thealternativedaily.com,usa,pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
amtvmedia.com,usa,right,low,mostly free,website,minimal traffic,low credibility,unreliable
alternativenews.com,usa,right conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
althealthworks.com,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
altleft.news,usa,right-conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
americandigitalnews.com,usa,conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
americanfreepress.net,usa,right conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
aim4truth.org,usa,extreme right,very low,mostly free,website station,minimal traffic,low credibility,unreliable
amg-news.com,romania,right-conspiracy-pseudoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
americanpolicy.org,usa,right conspiracy,low,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
americasfrontlinedoctors.com,usa,pseudoscience right biased,low,mostly free,website,medium traffic,low credibility,unreliable
ancient-origins.net,ireland,conspiracy-pseudoscience,mixed,excellent,website,medium traffic,low credibility,unreliable
anewspost.com,usa,conspiracy,mixed,mostly free,website,minimal traffic,low credibility,unreliable
answersingenesis.org,usa,right-pseudoscience,low,mostly free,organization/foundation,medium traffic,low credibility,unreliable
anyavien.com,usa,pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
apost.com,germany,pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
ae911truth.org,usa,conspiracy,mixed,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
asia-pacificresearch.com,canada,conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
askingangels.com,australia,right,very low,mostly free,website,minimal traffic,low credibility,unreliable
australiannationalreview.com,australia,right conspiracy,low,mostly free,website,minimal traffic,low credibility,unreliable
autismspeaks.org,usa,conspiracy-pseudoscience,mixed,mostly free,organization/foundation,medium traffic,low credibility,unreliable
awarenessact.com,usa,conspiracy-pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
banned.video,usa,right conspiracy- pseudoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
beholdisrael.org,israel,right conspiracy-pseudoscience,mixed,moderate freedom,website,minimal traffic,low credibility,unreliable
bestnewshere.com,macedonia,right conspiracy-pseudoscience,very low,moderate freedom,website,medium traffic,low credibility,unreliable
biggovernment.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
biodefense.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
biologos.org,usa,pseudoscience,mixed,mostly free,organization/foundation,medium traffic,low credibility,unreliable
biotechexpressmag.com,india,right conspiracy – pseudoscience,low,minimal freedom,magazine,minimal traffic,low credibility,unreliable
blacklistednews.com,usa,conspiracy-pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
blckbx.tv,netherlands,right conspiracy-pseudoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
bonsens.info,france,right conspiracy-pseudoscience,low,mostly free,organization/foundation,medium traffic,low credibility,unreliable
brandnewtube.com,united kingdom,right conspiracy-pseudoscience,very low,mostly free,website/video service,high traffic,low credibility,unreliable
brighteon.com,usa,far right conspiracy-pseusdoscience,very low,mostly free,website,high traffic,low credibility,unreliable
brightside.me,cyprus,pseudoscience,mixed,mostly free,website,high traffic,low credibility,unreliable
bugout.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
campusinsanity.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
cancer.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
catholic.org,usa,right conspiracy-pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
childrenshealthdefense.org,usa,right conspiracy-pseudoscience,low,mostly free,organization/foundation,medium traffic,low credibility,unreliable
chlorellafactor.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
carm.org,usa,right conspiracy-pseudoscience,low,mostly free,organization/foundation,medium traffic,low credibility,unreliable
cbn.com,usa,right,mixed,mostly free,tv station,high traffic,low credibility,mixed
creation.com,australia,right-pseudoscience,low,mostly free,organization/foundation,medium traffic,low credibility,unreliable
christianscience.com,usa,right-pseudoscience,low,mostly free,organization/foundation,medium traffic,low credibility,unreliable
legitgov.org,usa,right conspiracy-pseudoscience,mixed,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
climatechangedispatch.com,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
climatedepot.com,usa,right conspiracy-pseudoscience,mixed,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
judithcurry.com,usa,pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
climate.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
cnnsofake.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
coasttocoastam.com,usa,conspiracy-pseudoscience,low,mostly free,radio,medium traffic,low credibility,unreliable
collapse.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
collective-evolution.com,canada,conspiracy and pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
cfact.org,usa,right conspiracy-pseudoscience,low,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
consciouslifenews.com,usa,left conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
conspiracydailyupdate.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
consumerwellness.org,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
cosmicintelligenceagency.com,australia,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
counterthink.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
creationwiki.org,usa,right conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
cureus.com,usa,pseudoscience,mixed,mostly free,journal,medium traffic,low credibility,unreliable
curiousmindmagazine.com,usa,pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
dailyclout.io,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
dailygrail.com,australia,conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
dailyhealthpost.com,canada,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
dailysceptic.org,united kingdom,right pseudoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
darkjournalist.com,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
davidwolfe.com,usa,pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
diedsuddenly.info,usa,right conspiracy-pseudoscience,very low,mostly free,website/documentary,medium traffic,low credibility,unreliable
discovery.org,usa,right conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
doctoroz.com,usa,right conspiracy-pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
doctors4covidethics.org,switzerland,pseudoscience,very low,excellent,organization/foundation,minimal traffic,low credibility,unreliable
draxe.com,usa,pseudoscience,low,mostly free,website,high traffic,low credibility,unreliable
drnorthrup.com,usa,pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
earthpulse.com,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
ecology.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
educateinspirechange.org,united kingdom,conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
educate-yourself.org,usa,conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
eluxemagazine.com,united kingdom,left conspiracy-pseudoscience,mixed,mostly free,magazine,medium traffic,low credibility,unreliable
ewg.org,usa,left-pseudoscience,mixed,mostly free,organization/foundation,medium traffic,low credibility,unreliable
escapeallthesethings.com,usa,right-conspiracy,low,mostly free,website,minimal traffic,low credibility,unreliable
eugenics.news,usa,right-conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
europereloaded.com,usa,far-right conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
evolutionnews.org,usa,conspiracy-pseudoscience,low,mostly free,organization/foundation,medium traffic,low credibility,unreliable
fabiosa.com,ukraine,pseudoscience,mixed,limited freedom,website,medium traffic,low credibility,unreliable
faithit.com,usa,right conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
faithpanda.com,kenya,pseudoscience,mixed,moderate freedom,website,minimal traffic,low credibility,unreliable
foodbabe.com,usa,pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
foodmatters.com,australia,conspiracy-pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
food.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
foreverconscious.com,usa,pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
thefreethoughtproject.com,usa,left-conspiracy/pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
freedomadvocates.org,usa,right conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
freedomainradio.com,canada,alt-right conspiracy,low,mostly free,website,minimal traffic,low credibility,unreliable
freedom.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
friendsofscience.org,canada,right pseudoscience,mixed,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
covid19criticalcare.com,usa,right pseudoscience,low,mostly free,organization/foundation,medium traffic,low credibility,unreliable
gaia.com,usa,conspiracy-pseudoscience,low,mostly free,website,high traffic,low credibility,unreliable
gender.news,usa,right-conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
geoengineering.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
geoengineeringwatch.org,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
getholistichealth.com,unknown,pseudoscience,low,,website,minimal traffic,low credibility,unreliable
glitch.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
globalhealingcenter.com,usa,pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
globalresearch.ca,canada,conspiracy-pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
globalskywatch.com,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
gmowatch.com,usa,pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
gmwatch.org,united kingdom,left conspiracy-pseudoscience,mixed,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
godlikeproductions.com,unknown,right conspiracy-pseudoscience,low,,website,minimal traffic,low credibility,unreliable
goop.com,usa,pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
gotquestions.org,usa,right-psuedoscience,low,mostly free,organization/foundation,high traffic,low credibility,unreliable
govtslaves.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
greenmedinfo.com,usa,pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
greenpeace.org,netherlands,left-pseudoscience,mixed,mostly free,organization/foundation,medium traffic,low credibility,unreliable
healingfoodreference.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
healingoracle.ch,unknown,conspiracy-pseudoscience,very low,,website,minimal traffic,low credibility,unreliable
healthimpactnews.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
health.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
healthnutnews.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
healthrangerreport.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
hsionline.com,usa,pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
healthyandnaturalworld.com,usa,pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
healthyfoodhouse.com,macedonia,pseudoscience,high,moderate freedom,website,minimal traffic,low credibility,unreliable
healthy-holistic-living.com,usa,pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
savethemales.ca,canada,extreme right conspiracy,low,mostly free,website,minimal traffic,low credibility,unreliable
herb.co,canada,pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
herbreference.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
higherperspectives.com,unknown,pseudoscience,mixed,,website,medium traffic,low credibility,unreliable
homevaccineeducationnetwork.com,usa,pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
humansarefree.com,usa,right conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
icandecide.org,usa,conspiracy-pseudoscience,low,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
ihealthtube.com,usa,pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
iheartintelligence.com,bulgaria,conspiracy-pseudoscience,mixed,moderate freedom,website,medium traffic,low credibility,unreliable
illuminatiwatcher.com,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
independentsciencenews.org,usa,pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
infiniteunknown.net,unknown,extreme right conspiracy-pseudoscience,very low,,website,minimal traffic,low credibility,unreliable
informationclearinghouse.info,usa,left conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
infowars.com,usa,extreme right,very low,mostly free,tv station,high traffic,low credibility,unreliable
ingredients.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
theirishsentinel.com,ireland,right conspiracy-pseudoscience,very low,excellent,website,minimal traffic,low credibility,unreliable
israel365news.com,israel,right conspiracy-pseudoscience,mixed,moderate freedom,website,medium traffic,low credibility,unreliable
jedanews.com,italy,conspiracy-pseudoscience,low,moderate freedom,website,minimal traffic,low credibility,unreliable
jw.org,usa,conspiracy-pseudoscience,low,mostly free,organization/foundation,high traffic,low credibility,unreliable
joebiden.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
learntherisk.org,usa,conspiracy-pseudoscience,very low,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
leftcult.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
lesmoutonsrebelles.com,france,right-conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
liberty.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
libertyplanets.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
libtards.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
littlethings.com,usa,left – pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
liveaction.org,usa,right – conspiracy and pseudoscience,mixed,mostly free,organization/foundation,medium traffic,low credibility,unreliable
medicalcensorship.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
medicalkidnap.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
medicalmedium.com,usa,pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
mercola.com,usa,pseudoscience,low,mostly free,website,high traffic,low credibility,unreliable
modernalternativemama.com,usa,pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
nationalfile.com,usa,far right,low,mostly free,website,medium traffic,low credibility,unreliable
nationalsecurity.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
naturalhealth365.com,usa,pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
naturalmedicine.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
naturalnews.com,usa,far right conspiracy-pseusdoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
naturalnewsblogs.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
naturalnewsradio.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
naturalpedia.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
nomorefakenews.com,usa,right conspiracy- pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
notrickszone.com,germany,right pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
nutrientreference.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
nutritionfacts.org,usa,pseudoscience,mixed,mostly free,website,medium traffic,low credibility,unreliable
organicconsumers.org,usa,conspiracy-pseudoscience,low,mostly free,organization/foundation,minimal traffic,low credibility,unreliable
pandemic.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
patriots4truth.org,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
paulcraigroberts.org,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
peta.org,usa,left-pseudoscience,mixed,mostly free,organization/foundation,medium traffic,low credibility,unreliable
pollution.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
pressfortruth.ca,canada,right conspiracy-pseudoscience,mixed,mostly free,website,minimal traffic,low credibility,unreliable
prevention.com,usa,pseudoscience,mixed,mostly free,magazine,high traffic,low credibility,unreliable
principia-scientific.org,united kingdom,right,low,mostly free,website,minimal traffic,low credibility,unreliable
pdmj.org,usa,right pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
randpaul.news,usa,right-conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
realclimatescience.com,usa,right conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
redpillpodcasts.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
santeplusmag.com,morocco,pseudoscience,low,limited freedom,website,medium traffic,low credibility,unreliable
science.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
snopes.news,usa,right-conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
southfront.org,russia,right-conspiracy,low,limited freedom,website,medium traffic,low credibility,unreliable
supplementreference.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
talknetwork.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
technocracy.news,usa,right conspiracy-pseudoscience,very low,mostly free,website,medium traffic,low credibility,unreliable
expose-news.com,united kingdom,conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
thedailyworld.net,unknown,conspiracy-pseudoscience,very low,,website,minimal traffic,low credibility,unreliable
healthranger.com,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
thehealthyamerican.org,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
thehighwire.com,usa,conspiracy-pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
newnationalist.net,usa,right conspiracy-pseudoscience,very low,mostly free,website,minimal traffic,low credibility,unreliable
thepulse.one,canada,conspiracy/pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
thepuristonline.com,usa,pseudoscience,low,mostly free,magazine,minimal traffic,low credibility,unreliable
therundownlive.com,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
stream.org,usa,right-conspiracy/pseudoscience,mixed,mostly free,organization/foundation,medium traffic,low credibility,unreliable
thetrumpet.com,usa,right conspiracy-pseudoscience,mixed,mostly free,magazine,medium traffic,low credibility,unreliable
thetruthaboutcancer.com,usa,right pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
thetruthseeker.co.uk,united kingdom,conspiracy-pseudoscience,low,mostly free,website,medium traffic,low credibility,unreliable
vermontindependent.net,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
wakingtimes.com,usa,conspiracy-pseudoscience,low,mostly free,website,minimal traffic,low credibility,unreliable
